City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,novaya igirma,57.1334,103.9112,-34.02,100,18,1.4,RU,1706472471
265,guarapuava,-25.3953,-51.4581,18.43,80,73,1.96,BR,1706472471
266,sijunjung,-0.6876,100.9537,22.35,97,77,0.5,ID,1706472471
267,aykhal,66.0,111.5,-25.46,53,74,2.86,RU,1706472471
268,santa cruz,-17.8,-63.1667,36.03,44,20,6.69,BO,1706472472
269,debica,50.0515,21.4114,3.48,94,100,0.41,PL,1706472253
270,yuktae-dong,40.0247,128.1597,-3.75,82,7,1.67,KP,1706472472
271,burang,30.25,81.1667,-7.39,89,84,2.1,CN,1706472473
272,kununurra,-15.7667,128.7333,25.99,94,100,1.03,AU,1706472473
273,port blair,11.6667,92.75,26.02,89,40,1.03,IN,1706472473
274,devils lake,48.1128,-98.8651,3.3,74,0,4.63,US,1706472473
275,aur,8.1499,171.1687,26.17,82,100,7.07,MH,1706472474
276,piacabucu,-10.4056,-36.4344,27.82,76,100,5.5,BR,1706472474
277,codrington,-38.2667,141.9667,13.77,92,1,2.13,AU,1706472474
278,twon-brass,4.3151,6.2418,27.54,70,9,4.97,NG,1706472474
279,canete,-37.8,-73.4,20.38,53,2,3.97,CL,1706472475
280,quirihue,-36.2833,-72.5333,28.91,26,5,5.25,CL,1706472475
281,udachny,66.4167,112.4,-31.0,85,90,2.03,RU,1706472475
282,zhelezinka,53.54,75.3072,-21.4,100,98,2.95,KZ,1706472476
283,westport,41.1415,-73.3579,4.48,89,100,7.2,US,1706472375
284,buala,-8.145,159.5921,26.23,86,100,4.05,SB,1706472476
285,linares,-35.85,-71.6,36.63,18,87,5.22,CL,1706472477
286,hoi an,15.8794,108.335,19.98,86,100,1.76,VN,1706472477
287,port saint john's,-31.6229,29.5448,25.01,89,65,3.64,ZA,1706472477
288,porto novo,6.4965,2.6036,26.63,52,0,2.64,BJ,1706472477
289,holualoa,19.6228,-155.9522,25.86,68,0,7.72,US,1706472478
290,santa elena de uairen,4.6167,-61.1333,28.44,41,93,1.51,VE,1706472478
291,orsa,54.5153,30.4053,-9.18,98,68,1.83,BY,1706472186
292,cotonou,6.3654,2.4183,27.51,57,1,3.71,BJ,1706472478
293,pochinki,54.6988,44.8668,-4.54,97,100,1.6,RU,1706472479
294,nizhniy kuranakh,58.8353,125.4869,-42.59,100,100,0.77,RU,1706472479
295,lind,56.1,8.9833,4.9,59,100,6.95,DK,1706472479
296,charters towers,-20.1,146.2667,26.76,78,96,3.9,AU,1706472480
297,cidreira,-30.1811,-50.2056,23.93,75,89,3.51,BR,1706472480
298,luanshya,-13.1367,28.4166,21.32,81,73,2.32,ZM,1706472480
299,caleta olivia,-46.4393,-67.5281,19.04,40,100,5.21,AR,1706472480
300,mantua,45.1667,10.7833,5.61,74,5,0.35,IT,1706472481
301,chamba,32.5667,76.1333,12.17,47,98,0.73,IN,1706472481
302,chernyshevskiy,63.0128,112.4714,-39.32,100,41,0.17,RU,1706472481
303,arraial do cabo,-22.9661,-42.0278,26.92,78,75,2.57,BR,1706472482
304,fortuna,40.5982,-124.1573,23.19,77,0,3.58,US,1706472482
305,cabo san lucas,22.8909,-109.9124,29.78,68,1,1.51,MX,1706471911
306,pacific grove,36.6177,-121.9166,23.56,55,0,2.06,US,1706472483
307,chake chake,-5.2459,39.7666,26.99,80,86,3.95,TZ,1706472483
308,thayetmyo,19.3167,95.1833,17.36,58,0,0.53,MM,1706472483
309,isla vista,34.4133,-119.861,28.58,41,0,1.54,US,1706472469
310,taro,-8.3862,115.28,23.0,95,100,0.9,ID,1706472484
311,salalah,17.0151,54.0924,25.05,83,40,1.54,OM,1706472485
312,hamilton,39.1834,-84.5333,4.12,94,100,7.72,US,1706472340
313,queenstown,-31.8976,26.8753,20.96,69,40,1.17,ZA,1706472485
314,homer,59.6425,-151.5483,-12.07,62,0,3.58,US,1706472246
315,al jawf,29.5,38.75,10.08,52,6,3.61,SA,1706472486
316,saldanha,-33.0117,17.9442,18.1,86,100,1.76,ZA,1706472486
317,kailua-kona,19.6406,-155.9956,27.93,68,0,7.72,US,1706472451
318,virginia,37.5481,-77.4467,8.76,93,100,4.12,US,1706472354
319,puerto ayacucho,5.6639,-67.6236,36.98,28,31,2.94,VE,1706472488
320,port alfred,-33.5906,26.891,19.54,87,92,0.45,ZA,1706472488
321,mil'kovo,55.6078,37.7956,-17.63,100,85,2.1,RU,1706472488
322,susuman,62.7833,148.1667,-40.01,99,67,0.45,RU,1706472489
323,prado,-17.3411,-39.2208,25.1,91,100,5.22,BR,1706472489
324,nagqu,31.5,92.0,-13.6,47,100,1.46,CN,1706472489
325,errachidia,31.9275,-4.4285,12.42,22,27,1.06,MA,1706472489
326,lompoc,34.6391,-120.4579,26.99,35,0,3.09,US,1706472490
327,pizarro,4.9533,-77.366,29.05,76,96,2.68,CO,1706472490
328,benjamin constant,-4.3831,-70.0311,30.07,89,75,5.66,BR,1706472490
329,cannonvale,-20.2833,148.7,28.66,90,100,3.34,AU,1706472491
330,saint-philippe,-21.3585,55.7679,24.77,90,70,4.58,RE,1706472491
331,avarua,-21.2078,-159.775,26.03,83,100,0.51,CK,1706472491
332,portland,45.5234,-122.6762,18.32,91,100,1.34,US,1706472168
333,decorah,43.3033,-91.7857,0.51,100,100,3.6,US,1706472465
334,yuzhno-kurilsk,44.0306,145.8556,0.21,93,80,5.11,RU,1706472492
335,veraval,20.9,70.3667,20.6,60,86,4.72,IN,1706472493
336,punta del este,-34.9667,-54.95,26.09,82,20,6.17,UY,1706472383
337,halmeu,47.9667,23.0167,2.38,83,2,2.36,RO,1706472494
338,wilthen,51.1,14.4,3.21,74,7,0.89,DE,1706472494
339,kerikeri,-35.2268,173.9474,18.84,86,59,2.24,NZ,1706472494
340,adelaide,-34.9333,138.6,21.83,70,0,1.54,AU,1706472293
341,dilijan,40.741,44.8636,-7.85,82,74,3.11,AM,1706472495
